Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,11.4,17.2,24.6,34.0,37.6,42.9,56.7,61.7,78.5,108.4,157.5,250.1,286.6,279.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,580.0,793.5,978.5,1279.6,1648.4,2061.7,2202.9,2543.7,3581.2,4368.1,5659.8,7401.1,8448.7,9468.8
1706401,Buxoro shahri,Город Бухара,Bukhara city,134.9,167.1,170.5,219.2,291.6,361.1,444.1,526.8,837.6,1105.3,1447.6,1834.9,2014.1,1968.2
1706403,Kogon shahri,Город Каган,Kagan city,61.4,68.7,77.7,91.0,99.2,135.7,113.1,93.8,114.5,263.4,377.9,546.6,650.9,756.6
1706204,Olot tumani,Алатский район,Alat district,18.3,32.4,31.6,46.6,89.4,157.9,188.7,232.9,247.0,288.1,339.5,362.1,421.4,440.6
1706207,Buxoro tumani,Бухарский район,Bukhara district,42.3,58.7,70.3,98.3,101.6,119.8,140.2,178.7,279.3,374.1,492.4,486.7,518.4,551.6
1706212,Vobkent tumani,Вабкентский район,Vobkent district,19.0,30.2,41.5,50.1,66.2,70.0,45.5,79.0,127.6,142.6,103.8,165.5,458.5,392.1
1706215,G‘ijduvontumani,Гиждуванский район,Gijduvan district,37.2,65.8,87.8,111.9,151.5,180.6,184.9,245.8,278.8,389.5,442.4,566.9,549.0,572.3
1706219,Kogon tumani,Каганский район,Kagan district,83.0,86.4,112.0,129.3,136.4,181.3,150.5,194.7,312.1,272.0,466.2,522.9,658.6,947.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,23.0,32.6,50.2,58.4,72.6,80.3,92.8,115.6,161.8,219.3,254.5,277.7,291.2,340.4
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,58.4,87.5,125.5,162.8,240.9,308.1,330.0,326.0,292.5,278.0,368.1,437.1,404.2,635.9
1706240,Peshku tumani,Пешкунский  район,Peshkun district,17.0,29.9,38.4,47.6,72.2,88.7,98.5,108.8,182.6,191.8,307.3,397.5,557.4,623.2
1706242,Romitan tumani,Ромитанский район,Romitan district,32.1,51.2,70.6,126.5,156.3,168.1,184.9,214.2,292.6,360.3,379.3,960.3,846.1,1080.2
1706246,Jondor tumani,Жондоpский район,Jondor  district,23.4,43.4,50.6,60.9,76.7,110.2,122.7,119.1,170.4,254.8,362.4,371.9,452.2,453.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,30.0,39.6,51.8,77.0,93.8,99.9,107.0,108.3,284.4,228.9,318.4,471.0,626.7,707.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,211.5,294.3,363.3,532.2,659.5,759.2,906.1,996.1,1564.3,2510.6,2715.0,3085.4,3446.4,3947.7
1708401,Jizzax shahri,Город Джизак,Jizzakh city,93.1,126.8,159.1,241.2,288.0,291.0,376.5,402.5,651.4,1000.3,1083.1,1177.5,1506.5,1857.9
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,2.5,4.2,6.8,7.1,10.8,13.6,15.1,15.5,21.4,34.4,40.6,48.2,44.6,62.3
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,15.6,17.9,19.3,24.5,33.1,41.9,45.2,49.2,57.3,73.3,87.3,111.8,125.7,149.6
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,13.7,21.3,27.4,34.1,41.1,51.3,55.7,69.5,90.7,107.2,174.9,195.4,201.0,209.1
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,27.8,31.3,39.2,69.1,102.1,121.3,138.7,144.2,319.9,507.6,425.9,517.7,603.0,637.8
